2017 rank.[5],Country,Science andTechnology.,Culture andCivilisation.,InternationalPeace and Security.,Police andWorld Order.,Planet andClimate.,Prosperityand Equality.,Health andWell-being.
1,Netherlands,8,2,27,3,19,4,9
2,Switzerland,11,4,44,10,2,5,6
3,Denmark,4,6,64,9,14,2,3
4,Finland,7,13,52,8,6,9,12
5,Germany,21,15,37,2,18,14,7
6,Sweden,17,5,67,4,26,3,1
7,Ireland,32,8,50,21,10,1,2
8,United Kingdom,5,11,48,12,11,35,4
9,Austria,6,7,65,1,17,13,28
10,Norway,49,22,51,7,5,8,5
11,France,24,14,53,16,3,17,23
12,Hungary,3,19,17,43,32,23,33
13,Belgium,9,1,109,13,22,7,16
14,Canada,29,25,41,11,39,27,8
15,Singapore,26,29,14,30,21,19,49
16,Italy,41,26,55,14,7,36,24
17,New Zealand,12,35,33,19,27,69,17
18,Spain,40,30,70,15,9,34,22
19,Luxembourg,37,10,100,20,30,56,11
20,Cyprus,31,44,73,17,4,38,59
21,Japan,61,45,18,47,33,47,21
22,Bulgaria,14,39,69,32,40,39,53
23,Australia,20,48,54,6,50,102,13
24,Portugal,39,12,133,28,23,21,39
25,United States,38,67,72,29,35,62,10
26,Greece,27,47,115,31,15,50,29
27,Iceland,15,37,77,42,1,105,41
28,Estonia,36,3,93,72,57,37,27
29,South Korea,44,34,103,33,98,65,19
30,Poland,23,21,107,24,34,46,79
31,Moldova,47,46,9,64,73,22,87
32,Slovenia,10,16,160,18,12,77,57
33,Malta,62,28,124,5,20,42,76
34,Czech Republic,2,9,98,48,60,98,47
35,Chile,74,51,19,26,43,73,91
36,Croatia,33,38,146,58,13,10,83
37,Malaysia,52,41,34,40,149,19,46
38,Turkey,55,75,78,39,51,40,44
39,Costa Rica,76,32,16,22,46,82,110
40,Romania,30,31,58,36,37,81,112
41,Latvia,13,17,104,70,42,80,70
42,Lithuania,18,23,99,56,16,124,64
43,Mauritius,83,27,56,34,78,25,126
44,Morocco,45,85,10,114,79,43,58
45,Albania,28,33,84,45,132,6,106
46,North Macedonia,19,55,135,54,65,74,34
47,South Africa,25,65,2,25,150,114,56
48,Slovakia,42,20,113,52,24,142,52
49,Uruguay,135,59,6,37,8,135,80
50,Barbados,35,18,126,103,54,32,103
51,Philippines,146,58,47,61,56,12,94
52,Jordan,65,91,31,111,137,24,18
53,Israel,34,63,123,84,25,99,51
54,Ukraine,1,62,108,57,128,72,55
55,Thailand,107,54,21,23,138,109,37
56,Tunisia,72,93,3,107,69,70,92
57,Georgia,86,109,79,101,55,11,66
58,United Arab Emirates,84,53,147,53,115,49,14
59,India,67,57,32,89,97,49,35
60,Qatar,145,114,36,94,62,61,25
61,Bosnia and Herzegovina,16,69,149,35,135,45,95
62,Lebanon,68,66,153,76,89,31,63
63,Kenya,59,83,63,44,63,130,114
64,Fiji,50,81,76,161,109,44,36
65,Russia,53,101,82,97,67,116,43
66,Guatemala,119,83,23,71,113,78,77
67,Sri Lanka,117,141,26,78,72,52,78
68,Oman,123,126,11,119,86,75,26
69,Serbia,105,78,80,74,83,15,138
70,Panama,99,117,110,27,99,68,54
71,Montenegro,48,61,128,41,91,71,134
72,Nicaragua,110,100,96,87,140,20,30
73,Egypt,60,123,4,120,70,134,73
74,Mexico,95,64,85,99,90,108,48
75,Armenia,56,103,136,104,108,48,31
76,China,70,111,40,109,96,113,48
77,Uganda,82,107,90,63,71,87,90
78,Belarus,46,95,132,92,75,84,67
79,Samoa,64,60,1,130,45,145,146
80,Brazil,109,119,61,50,53,162,40
81,Ecuador,139,106,24,80,94,110,50
82,Argentina,75,119,39,49,112,100,122
83,Timor-Leste,73,133,49,102,120,29,105
84,Dominican Republic,122,125,129,51,31,76,81
85,Kuwait,127,110,140,81,66,83,20
